url,domain,title,text,outlinks
"http://ec.europa.eu/programmes/horizon2020/en/news/world-voice-day-eu-funded-projects-capturing-sketching-and-simulating-our-voice",,"World Voice Day: EU-funded projects capturing, sketching and simulating our voice",,
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/550/494",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/news/call-developing-governance-advancement-responsible-research-and-innovation",,"Call for developing governance for the advancement of Responsible Research and Innovation",,
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/573/494",,"European Commission",,
"http://ec.europa.eu/research/participants/portal/desktop/en/opportunities/h2020/calls/h2020-issi-2015-1.html",,"H2020-ISSI-2015-1",,
"http://ec.europa.eu/programmes/horizon2020/en/h2020-section/science-education",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/news/chist-era-call-2014-announcement",,"CHIST-ERA Call 2014 Announcement",,
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/550/all",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/news/msca-prize-2014-here-are-winners",,"MSCA Prize 2014: Here are the winners!",,
"http://ec.europa.eu/programmes/horizon2020/en/news/former-msca-fellow-wins-2014-chemistry-nobel-prize",,"Former Marie Skłodowska-Curie Actions (MSCA) fellow wins 2014 Chemistry Nobel Prize",,
"http://ec.europa.eu/programmes/horizon2020/en/news/flag-era-joint-transnational-call-2015-pre-announcement-27-october-2014",,"FLAG-ERA Joint Transnational Call 2015 Pre-announcement : 27 October 2014",,
"http://ec.europa.eu/programmes/horizon2020/en/news/first-sme-loan-guarantee-under-horizon-2020-launched-spain",,"First SME loan guarantee under Horizon 2020 launched in Spain",,
"http://ec.europa.eu/programmes/horizon2020/en/news/graphene-flagship-welcomes-first-associated-members",,"Graphene Flagship welcomes first associated members",,
"http://ec.europa.eu/programmes/horizon2020/en/news/blog-future-science-europe-future-europe-science",,"Blog: The future of science is Europe, the Future of Europe is Science",,
"https://ecas.ec.europa.eu/cas/wayf.cgi;ECAS_SESSIONID=sQLsrGrIWhATP7qvPBuYtVm9dubyqhs4QiWjZv8-9iWgIzaaZ2Y_MQ5QfEziI0Gw8Gu!-1500138572",,"Where are you from?",,
"https://ecas.ec.europa.eu/cas/contact.html;ECAS_SESSIONID=sQLsrGrIWhATP7qvPBuYtVm9dubyqhs4QiWjZv8-9iWgIzaaZ2Y_MQ5QfEziI0Gw8Gu!-1500138572",,"Contact",,
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/546/471",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/550/463",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/550/469",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/546/469",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/546/470",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/551/457",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/546/478",,"European Commission",,
"http://ec.europa.eu/commission/2014-2019_hu",,"Európai Bizottság",,
"http://ec.europa.eu/geninfo/query/search_lt.html",,"Search - European Commission",,
"http://ec.europa.eu/contact/members_mt.htm",,"Staff tal-Kummissjoni - Il-Kummissjoni Ewropea",,
"http://ec.europa.eu/contact/members_es.htm",,"Personal de la Comisión Europea",,
"http://ec.europa.eu/contracts_grants/grants_fr.htm",,"Commission européenne",,
"http://www.ecsite.eu/activities_and_resources/projects/voices",,"VOICES | Ecsite",,
"https://ecas.ec.europa.eu/cas/help.html;ECAS_SESSIONID=rKrstQkPL0OaiTt5tp4LCDkdtrhgbODUkpzgxluQoeBvExEdCAvIinwTt8RGQoD3QfA!-1500138572",,"Help",,
"https://ecas.ec.europa.eu/cas/privacyStatement.html;ECAS_SESSIONID=rKrstQkPL0OaiTt5tp4LCDkdtrhgbODUkpzgxluQoeBvExEdCAvIinwTt8RGQoD3QfA!-1500138572",,"IAM Privacy Statement",,
